"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"675","a",216,2.5,"u","g","i","h",0.21,"f","f",0,"f","g",92,246,"-"
"676","a",250,1.04,"u","g","aa","v",0.665,"f","f",0,"f","g",86,237,"-"
"677","a",155,10.665,"u","g","q","h",0.085,"f","t",12,"t","g",42,3,"-"
"678","b",38,7.25,"u","g","m","v",0.04,"f","t",1,"f","g",33,1,"-"
"679","a",22,10.21,"u","g","ff","ff",0,"f","f",0,"f","g",2,50,"-"
"680","a",44,1.25,"u","g","c","v",0,"f","f",0,"f","g",2,0,"-"
"681","b",39,0.29,"u","g","k","v",0.29,"f","f",0,"f","g",98,364,"-"
"682","b",127,1,"y","p","d","h",3,"f","f",0,"f","g",62,537,"-"
"683","b",14,3.29,"u","g","i","v",0.335,"f","f",0,"t","g",46,2,"-"
"684","b",210,0.75,"y","p","d","v",0.585,"f","f",0,"f","g",86,3,"-"
"685","b",242,3.29,"u","g","m","v",3.5,"f","f",0,"t","s",131,0,"-"
"686","b",54,10.085,"y","p","e","h",1.25,"f","f",0,"f","g",92,0,"-"
"687","a",73,0.75,"u","g","c","v",2,"f","t",2,"t","g",69,394,"-"
"688","a",99,13.5,"y","p","ff","ff",2,"f","t",1,"t","g",69,1,"-"
"689","b",22,0.205,"u","g","aa","v",0.04,"f","f",0,"f","g",98,750,"-"
"690","b",199,3.375,"u","g","c","h",8.29,"f","f",0,"t","g",2,0,"-"
